Abbott Laboratories
Acuson Corp
Adolor Corp
Advanced Surgical Inc
Affymetrix Inc
Agouron Pharmaceuticals Inc
Akzo NV
ALARIS Medical Inc
Alcon Laboratories Inc
Alkermes Inc
Allegiance Corp(Cardinal)
Allergan Inc
Alliance Pharmaceutical Corp
ALZA Corp
AMBI Inc
Ambu A/S
American Cyanamid Co
American Home Products Corp
American Hospital Supply Corp
AMETEK Inc
Amgen Inc
AngioDynamics Inc
Angiotech Pharmaceuticals Inc
Antigenics Inc
Aquila Biopharmaceuticals Inc
Aristotle Corp
ArthroCare Corp
Astellas Pharma US Inc
Avant Immunotherapeutics Inc
Aventis Pharmaceuticals Inc
Bacou USA Inc
BAE Systems PLC
Baker Hughes Inc
Barr Laboratories Inc
BASF SE
Bausch & Lomb Inc
Baxter Healthcare Corp
Baxter International Inc
Bayer AG
Bayer CropScience AG
Beckman Coulter Inc
Becton Dickinson & Co
Beecham Group PLC
Benchmark Electronics
Bespak PLC
Bio-Medicus Inc
Biomet Inc
Birtcher Corp
BOC Group PLC
Boehringer Ingelheim Intl GmbH
Boehringer Ingelheim KG
Boehringer Ingelheim Pharma
Boots Co PLC
Boston Scientific Corp
Bracco Diagnostics Inc
Bristol-Myers Squibb Co
Bruker Daltonics Inc
Cabot Corp
Caliper Life Sciences Inc
Cantel Medical Corp
Cardiac Science Inc
Cardinal Health Inc
CardioNet Inc
CardioVascular Dynamics Inc
Catalytica Inc
CDK Acquisition Corp
Celgene Corp
Cell Genesys Inc
Cephalon Inc
Ceradyne Inc
Certis USA LLC
Chattem Inc
Chemed Corp
Chemfab Corp
Chesebrough-Pond's Inc
Chiron Corp
CIBA Corning Diagnostics Corp
Ciba Vision Corp(Ciba-Geigy)
Ciba-Geigy AG
Ciba-Geigy Corp(Ciba-Geigy AG)
Circon Corp
Clarient Inc
Clinical Data Inc
COBE Laboratories inc
Conceptus Inc
CONMED Corp
Connetics Corp
Cooper Labs Inc
CooperSurgical Inc
Cordis Corp
Corixa Corp
Corning Glass Works
Corning Inc
Cortec Group Inc
Covance Inc
CR Bard Inc
Creative BioMolecules Inc
Crompton Corp
CryoLife Inc
CSL Ltd
CTI Molecular Imaging Inc
Cutera Inc
Cypress Bioscience Inc
Cytel Corp
CytoTherapeutics Inc
Cytyc Corp
Daiichi Pharmaceutical Co Ltd
Damon Corp
DeKalb Genetics Corp
Dendreon Corp
DENTSPLY International Inc
Depuy Inc(Corange Ltd)
Dianon Systems Inc
Dow AgroSciences LLC
DuPont
Eastman Kodak Co
Ecolab Inc
EDO Corp
Edwards Lifesciences Corp
Elan Corp PLC
Eli Lilly & Co
Encore Medical Corp
Endologix Inc
EndoSonics Corp
Engelhard Corp
Enzon Inc
EpiCept Corp
Esperion Therapeutics Inc
Essential Therapeutics Inc
ev3 Inc
Evotec AG
Exactech Inc
Exelixis Inc
Exiqon A/S
Ford Motor Co
Fresenius AG
Fujifilm Holdings Corp
Fuqua Enterprises Inc
Gambro AB(Investment AB Cardo)
GE Healthcare
GelTex Pharmaceuticals Inc
GENDEX Corp
Gene Logic Inc
Genentech Inc
Genetics Institute Inc
Genome Therapeutics Corp
Genta Inc
GenVec Inc
Genzyme Corp
Genzyme Transgenics Corp
Getinge AB
Getinge Industrier AB
Gilead Sciences Inc
Given Imaging Ltd
GlaxoSmithKline PLC
Goodman Co Ltd
